COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO,METADATOS
UPM,Unidad primaria de muestreo,Varchar,7,[],Unidad primaria de muestreo
VIV_SEL,Vivienda seleccionada,Varchar,2,[],Vivienda seleccionada 
HOGAR,Número de Hogar en la vivienda,Varchar,2,[],Número de Hogar en la vivienda
P4_1_1,"4.1 Por favor, dígame si disponen de los siguientes bienes:
Radio",Varchar,1,[1-2],"1 Sí, 2 No"
P4_1_2,"4.1 Por favor, dígame si disponen de los siguientes bienes:
Televisor analógico (de cinescopio)",Varchar,1,[1-2],"1 Sí, 2 No"
P4_1_3,"4.1 Por favor, dígame si disponen de los siguientes bienes:
Decodificador de TV digital abierta (diferente a TV de paga)",Varchar,1,[1-2],"1 Sí, 2 No"
P4_1_4,"4.1 Por favor, dígame si disponen de los siguientes bienes:
Pantalla plana (televisor digital, LCD o LED)",Varchar,1,[1-2],"1 Sí, 2 No"
P4_1_4_1,"4.1 Por favor, dígame si disponen de los siguientes bienes: 
Pantalla plana (televisor digital, LCD o LED)
 En total,  ¿de cuántas pantallas planas disponen?",Numeric,2,"[1-98, 99]",99 No sabe
P4_1_4_2,"4.1 Por favor, dígame si disponen de los siguientes bienes: 
Pantalla plana (televisor digital, LCD o LED)
 ¿En total, de cuántas pantallas planas disponen?
¿Cuántas de estas cuentan con funciones de SmartTV 
(que se conecte directamente a internet o mediante un dispositivo)?",Numeric,2,"[0-98, 99]",99 No sabe
P4_1_5,"4.1 Por favor, dígame si disponen de los siguientes bienes:
Consola de videojuegos",Varchar,1,[1-2],"1 Sí, 2 No"
P4_1_6,"4.1 Por favor, dígame si disponen de los siguientes bienes: 
Teléfono celular móvil (por cualquiera de los integrantes)",Varchar,1,[1-2],"1 Sí, 2 No"
P4_1_6_1,"4.1 Por favor, dígame si disponen de los siguientes bienes: 
Teléfono celular móvil (por cualquiera de los integrantes)
En total, ¿de cuántos teléfonos
celulares disponen en el hogar?",Numeric,2,"[1-98, 99]",99 No sabe
P4_1_6_2,"4.1 Por favor, dígame si disponen de los siguientes bienes: 
Teléfono celular móvil (por cualquiera de los integrantes)
¿Cuántos de estos son celulares
inteligentes (Smartphone)?",Numeric,2,"[0-98, 99]",99 No sabe
P4_2_1_1,"4.2 ¿Disponen de... 
computadora de escritorio (Teclado, monitor y CPU se encuentran separados)?",Varchar,1,[1-2],"1 Sí, 2 No"
P4_2_1_2,"4.2 ¿Disponen de... 
computadora de escritorio (Teclado, monitor y CPU se encuentran separados)?
 ¿Cuántas computadoras de escritorio?",Numeric,2,"[1-98, 99]",99 No sabe
P4_2_2_1,"4.2 ¿Disponen de... 
computadora portátil (teclado, monitor y CPU se encuentran integrados físicamente)?",Varchar,1,[1-2],"1 Sí, 2 No"
P4_2_2_2,"4.2 ¿Disponen de... 
computadora de escritorio (Teclado, monitor y CPU se encuentran separados)?
 ¿Cuántas computadoras de portátiles?",Numeric,2,"[1-98, 99]",99 No sabe
P4_2_3_1,"4.2 ¿Disponen de... 
Tablet (teclado y puntero virtuales en la pantalla táctil)?",Varchar,1,[1-2],"1 Sí, 2 No"
P4_2_3_2,"4.2 ¿Disponen de... 
computadora de escritorio (Teclado, monitor y CPU se encuentran separados)?
 ¿Cuántas tablet?",Numeric,2,"[1-98, 99]",99 No sabe
P4_3,"4.3 ¿Por qué no disponen de computadora, laptop o Tablet?",Varchar,1,[1-8],"1 Falta de recursos económicos, 2 No les interesa o no la necesitan, 3 No saben usarla, 4 Utilizan un celular inteligente (Smartphone) u otro dispositivo para conectarse a Internet, 5 Porque está descompuesta, 6 Por razones relacionadas con la privacidad o seguridad, 7 Otra razón, 8 No responde"
P4_3A,"4.3 ¿Por qué no disponen de computadora, laptop o Tablet? 
 Otra razón Especifique",Varchar,100,"[0-9, A-Z]", 
P4_4,4.4 ¿Disponen de conexión a internet en el hogar?,Varchar,1,[1-2],"1 Sí, 2 No"
