COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO,METADATOS,Column1,_1,_2
UPM,Unidad primaria de muestreo,Varchar ,7,[],Unidad primaria de muestreo,,,
VIV_SEL,Vivienda seleccionada ,Varchar ,2,[],Vivienda seleccionada ,,,
HOGAR,Número de Hogar en la vivienda,Varchar ,2,[],Número de Hogar en la vivienda,,,
NUM_REN,Número de renglón,Varchar ,2,[],Número de renglón,,,
EDAD,Edad del elegido,Numeric,2,[6-98],"6 - 96 Edad en años cumplidos de la persona elegida en el hogar, 97 Persona elegida de 97 o más años, 98 Edad no especificada en personas elegidas de 6 años o más",,,
P8_1,8.1 ¿Dispone usted de celular?,Varchar ,1,[1-2],"1 Sí, 2 No",,,
P8_2,8.2 ¿Por qué no dispone de un celular (común o Smartphone)?,Varchar ,1,[1-8],"1 Por falta de recursos económicos, 2 No le interesa o no lo necesita, 3 No hay servicio en su localidad (falta de infraestructura, cobertura de red), 4 Por razones relacionadas con la privacidad o seguridad, 5 No sabe utilizarlo, 6 No le permiten usarlo, 7 Por discapacidad física o mental, 8 Otra razón",,,
P8_2A,8.2 ¿Por qué no dispone de un celular (común o Smartphone)? Especifique,Varchar ,100,[A-Z],,,,
P8_3,"8.3 En los últimos tres meses, ¿ha usado teléfono celular común o inteligente (Smartphone)?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P8_4_1,"8.4 ¿El celular que usa es…
 común?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P8_4_2,"8.4 ¿El celular que usa es…
 inteligente (Smartphone)?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P8_5_1,"8.5 ¿Cuántos celulares utiliza del…
 común?",Numeric,2,[1-9],"1 Sí, 2 No",,,
P8_5_2,"8.5 ¿Cuántos celulares utiliza del…
 inteligente (Smartphone)?",Numeric,2,[1-9],Cantidad de celulares inteligentes (Smartphone) que utiliza la persona elegida en el hogar,,,
P8_6,"8.6 En los últimos tres meses, ¿con qué frecuencia ha utilizado el celular para hacer o recibir llamadas?",Varchar ,1,[1-4],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez al mes, 4 Con otra frecuencia menor",,,
P8_7_1,"8.7 El servicio de celular ¿lo paga por…
 recarga de tiempo de aire (prepago)?",Varchar ,1,"[1-2,9]","1 Sí, 2 No, 9 No sabe",,,
P8_7_2,"8.7 El servicio de celular ¿lo paga por…
 paquetes (prepago)?",Varchar ,1,"[1-2,9]","1 Sí, 2 No, 9 No sabe",,,
P8_7_3,"8.7 El servicio de celular ¿lo paga por…
 plan tarifario (pospago)?",Varchar ,1,"[1-2,9]","1 Sí, 2 No, 9 No sabe",,,
P8_8,8.8 ¿Cuál es su gasto promedio al mes en celular?,Numeric,4,[10-9999],"10 - 9998 Gasto promedio al mes en celular, 9999 No sabe",,,
